inst_index,actual_class,predicted_class,proba_Spare_Time/TV,proba_Grooming,proba_Toileting,proba_Sleeping,proba_Breakfast,proba_Showering,proba_Snack,proba_Lunch,proba_Leaving,proba_Dinner
1.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,0.2,0.63,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.54,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
4.0,7.0,6.0,0.02,0.0,0.0,0.0,0.04,0.0,0.57,0.37,0.0,0.0
5.0,1.0,1.0,0.0,0.96,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,5.0,1.0,0.09,0.8,0.04,0.0,0.03,0.02,0.0,0.0,0.02,0.0
8.0,4.0,4.0,0.14,0.0,0.0,0.0,0.77,0.0,0.01,0.08,0.0,0.0
9.0,1.0,1.0,0.08,0.87,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0,2.0,0.32,0.33,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,2.0,0.06,0.31,0.48,0.0,0.0,0.15,0.0,0.0,0.0,0.0
12.0,2.0,1.0,0.14,0.53,0.29,0.0,0.0,0.04,0.0,0.0,0.0,0.0
13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,6.0,7.0,0.03,0.0,0.0,0.0,0.02,0.0,0.14,0.81,0.0,0.0
15.0,7.0,4.0,0.14,0.0,0.0,0.0,0.65,0.0,0.02,0.19,0.0,0.0
16.0,1.0,1.0,0.14,0.53,0.27,0.0,0.06,0.0,0.0,0.0,0.0,0.0
17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0
18.0,3.0,3.0,0.01,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
19.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0
20.0,8.0,8.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0
21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,7.0,4.0,0.12,0.0,0.0,0.0,0.71,0.0,0.0,0.17,0.0,0.0
23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1.0,1.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
25.0,4.0,4.0,0.08,0.0,0.0,0.0,0.83,0.0,0.01,0.08,0.0,0.0
26.0,2.0,1.0,0.26,0.48,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0
28.0,8.0,8.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
29.0,1.0,2.0,0.01,0.42,0.56,0.0,0.0,0.01,0.0,0.0,0.0,0.0
